Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[cell type]	Characteristics[organism part]	Characteristics[genotype]	Material Type	Characteristics[treatment]	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[organism part]
Sample 1	ERS1531700	SAMEA70189168	Mus musculus	C57BL/6	granulocyte-macrophage colony-stimulating factor induced inflammatory monocyte-derived cell	central nervous system	GM-CSFind x CD4-CrERT2	cell	Tamoxifen treated	P-MTAB-53571	Sabine Spath, Florian Mair	P-MTAB-53566	Sabine Spath	P-MTAB-53567	Sabine Spath	P-MTAB-53568	Functional Genomics Center Zurich (FGCZ)	Sample 1	SINGLE	RANDOM PCR	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-53569	Functional Genomics Center Zurich (FGCZ)	Sample 1	sequencing assay	ERX1876166	20160713.B-Mouse5921_CNS_R1.fastq.gz	20160713.B-Mouse5921_CNS_R1.fastq.gz	ERR1813629	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1813629/ERR1813629.fastq.gz	P-MTAB-53572	Functional Genomics Center Zurich (FGCZ)	P-MTAB-53570	Functional Genomics Center Zurich (FGCZ)	set1_set2_set3_intersection_20160726.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5412/E-MTAB-5412.processed.1.zip	central nervous system
Sample 10	ERS1531701	SAMEA70189918	Mus musculus	C57BL/6	granulocyte-macrophage colony-stimulating factor induced inflammatory monocyte-derived cell	liver	GM-CSFind x CD4-CrERT2	cell	Tamoxifen treated	P-MTAB-53571	Sabine Spath, Florian Mair	P-MTAB-53566	Sabine Spath	P-MTAB-53567	Sabine Spath	P-MTAB-53568	Functional Genomics Center Zurich (FGCZ)	Sample 10	SINGLE	RANDOM PCR	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-53569	Functional Genomics Center Zurich (FGCZ)	Sample 10	sequencing assay	ERX1876167	20160713.B-Mouse5921_liver_R1.fastq.gz	20160713.B-Mouse5921_liver_R1.fastq.gz	ERR1813630	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1813630/ERR1813630.fastq.gz	P-MTAB-53572	Functional Genomics Center Zurich (FGCZ)	P-MTAB-53570	Functional Genomics Center Zurich (FGCZ)	result_CNS_over_liver.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5412/E-MTAB-5412.processed.1.zip	liver
Sample 11	ERS1531702	SAMEA70190668	Mus musculus	C57BL/6	granulocyte-macrophage colony-stimulating factor induced inflammatory monocyte-derived cell	liver	GM-CSFind x CD4-CrERT2	cell	Tamoxifen treated	P-MTAB-53571	Sabine Spath, Florian Mair	P-MTAB-53566	Sabine Spath	P-MTAB-53567	Sabine Spath	P-MTAB-53568	Functional Genomics Center Zurich (FGCZ)	Sample 11	SINGLE	RANDOM PCR	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-53569	Functional Genomics Center Zurich (FGCZ)	Sample 11	sequencing assay	ERX1876168	20160713.B-Mouse87_liver_R1.fastq.gz	20160713.B-Mouse87_liver_R1.fastq.gz	ERR1813631	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1813631/ERR1813631.fastq.gz	P-MTAB-53572	Functional Genomics Center Zurich (FGCZ)	P-MTAB-53570	Functional Genomics Center Zurich (FGCZ)	result_CNS_over_liver.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5412/E-MTAB-5412.processed.1.zip	liver
Sample 12	ERS1531703	SAMEA70191418	Mus musculus	C57BL/6	granulocyte-macrophage colony-stimulating factor induced inflammatory monocyte-derived cell	liver	GM-CSFind x CD4-CrERT2	cell	Tamoxifen treated	P-MTAB-53571	Sabine Spath, Florian Mair	P-MTAB-53566	Sabine Spath	P-MTAB-53567	Sabine Spath	P-MTAB-53568	Functional Genomics Center Zurich (FGCZ)	Sample 12	SINGLE	RANDOM PCR	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-53569	Functional Genomics Center Zurich (FGCZ)	Sample 12	sequencing assay	ERX1876169	20160713.B-Mouse95_liver_R1.fastq.gz	20160713.B-Mouse95_liver_R1.fastq.gz	ERR1813632	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1813632/ERR1813632.fastq.gz	P-MTAB-53572	Functional Genomics Center Zurich (FGCZ)	P-MTAB-53570	Functional Genomics Center Zurich (FGCZ)	result_CNS_over_liver.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5412/E-MTAB-5412.processed.1.zip	liver
Sample 13	ERS1531704	SAMEA70192168	Mus musculus	C57BL/6	granulocyte-macrophage colony-stimulating factor induced inflammatory monocyte-derived cell	kidney	GM-CSFind x CD4-CrERT2	cell	Tamoxifen treated	P-MTAB-53571	Sabine Spath, Florian Mair	P-MTAB-53566	Sabine Spath	P-MTAB-53567	Sabine Spath	P-MTAB-53568	Functional Genomics Center Zurich (FGCZ)	Sample 13	SINGLE	RANDOM PCR	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-53569	Functional Genomics Center Zurich (FGCZ)	Sample 13	sequencing assay	ERX1876170	20160713.B-Mouse5921_kidney_R1.fastq.gz	20160713.B-Mouse5921_kidney_R1.fastq.gz	ERR1813633	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1813633/ERR1813633.fastq.gz	P-MTAB-53572	Functional Genomics Center Zurich (FGCZ)	P-MTAB-53570	Functional Genomics Center Zurich (FGCZ)	result_CNS_over_kidney.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5412/E-MTAB-5412.processed.1.zip	kidney
Sample 14	ERS1531705	SAMEA70192918	Mus musculus	C57BL/6	granulocyte-macrophage colony-stimulating factor induced inflammatory monocyte-derived cell	kidney	GM-CSFind x CD4-CrERT2	cell	Tamoxifen treated	P-MTAB-53571	Sabine Spath, Florian Mair	P-MTAB-53566	Sabine Spath	P-MTAB-53567	Sabine Spath	P-MTAB-53568	Functional Genomics Center Zurich (FGCZ)	Sample 14	SINGLE	RANDOM PCR	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-53569	Functional Genomics Center Zurich (FGCZ)	Sample 14	sequencing assay	ERX1876171	20160713.B-Mouse87_kidney_R1.fastq.gz	20160713.B-Mouse87_kidney_R1.fastq.gz	ERR1813634	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/004/ERR1813634/ERR1813634.fastq.gz	P-MTAB-53572	Functional Genomics Center Zurich (FGCZ)	P-MTAB-53570	Functional Genomics Center Zurich (FGCZ)	result_CNS_over_kidney.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5412/E-MTAB-5412.processed.1.zip	kidney
Sample 15	ERS1531706	SAMEA70193668	Mus musculus	C57BL/6	granulocyte-macrophage colony-stimulating factor induced inflammatory monocyte-derived cell	kidney	GM-CSFind x CD4-CrERT2	cell	Tamoxifen treated	P-MTAB-53571	Sabine Spath, Florian Mair	P-MTAB-53566	Sabine Spath	P-MTAB-53567	Sabine Spath	P-MTAB-53568	Functional Genomics Center Zurich (FGCZ)	Sample 15	SINGLE	RANDOM PCR	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-53569	Functional Genomics Center Zurich (FGCZ)	Sample 15	sequencing assay	ERX1876172	20160713.B-Mouse95_kidney_R1.fastq.gz	20160713.B-Mouse95_kidney_R1.fastq.gz	ERR1813635	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1813635/ERR1813635.fastq.gz	P-MTAB-53572	Functional Genomics Center Zurich (FGCZ)	P-MTAB-53570	Functional Genomics Center Zurich (FGCZ)	result_CNS_over_kidney.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5412/E-MTAB-5412.processed.1.zip	kidney
Sample 2	ERS1531707	SAMEA70194418	Mus musculus	C57BL/6	granulocyte-macrophage colony-stimulating factor induced inflammatory monocyte-derived cell	central nervous system	GM-CSFind x CD4-CrERT2	cell	Tamoxifen treated	P-MTAB-53571	Sabine Spath, Florian Mair	P-MTAB-53566	Sabine Spath	P-MTAB-53567	Sabine Spath	P-MTAB-53568	Functional Genomics Center Zurich (FGCZ)	Sample 2	SINGLE	RANDOM PCR	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-53569	Functional Genomics Center Zurich (FGCZ)	Sample 2	sequencing assay	ERX1876173	20160713.B-Mouse6032_CNS_R1.fastq.gz	20160713.B-Mouse6032_CNS_R1.fastq.gz	ERR1813636	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/006/ERR1813636/ERR1813636.fastq.gz	P-MTAB-53572	Functional Genomics Center Zurich (FGCZ)	P-MTAB-53570	Functional Genomics Center Zurich (FGCZ)	set1_set2_set3_intersection_20160726.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5412/E-MTAB-5412.processed.1.zip	central nervous system
Sample 3	ERS1531708	SAMEA70195168	Mus musculus	C57BL/6	granulocyte-macrophage colony-stimulating factor induced inflammatory monocyte-derived cell	central nervous system	GM-CSFind x CD4-CrERT2	cell	Tamoxifen treated	P-MTAB-53571	Sabine Spath, Florian Mair	P-MTAB-53566	Sabine Spath	P-MTAB-53567	Sabine Spath	P-MTAB-53568	Functional Genomics Center Zurich (FGCZ)	Sample 3	SINGLE	RANDOM PCR	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-53569	Functional Genomics Center Zurich (FGCZ)	Sample 3	sequencing assay	ERX1876174	20160713.B-Mouse6039_CNS_R1.fastq.gz	20160713.B-Mouse6039_CNS_R1.fastq.gz	ERR1813637	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/007/ERR1813637/ERR1813637.fastq.gz	P-MTAB-53572	Functional Genomics Center Zurich (FGCZ)	P-MTAB-53570	Functional Genomics Center Zurich (FGCZ)	set1_set2_set3_intersection_20160726.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5412/E-MTAB-5412.processed.1.zip	central nervous system
Sample 4	ERS1531709	SAMEA70195918	Mus musculus	C57BL/6	granulocyte-macrophage colony-stimulating factor induced inflammatory monocyte-derived cell	central nervous system	GM-CSFind x CD4-CrERT2	cell	Tamoxifen treated	P-MTAB-53571	Sabine Spath, Florian Mair	P-MTAB-53566	Sabine Spath	P-MTAB-53567	Sabine Spath	P-MTAB-53568	Functional Genomics Center Zurich (FGCZ)	Sample 4	SINGLE	RANDOM PCR	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-53569	Functional Genomics Center Zurich (FGCZ)	Sample 4	sequencing assay	ERX1876175	20160713.B-Mouse87_CNS_R1.fastq.gz	20160713.B-Mouse87_CNS_R1.fastq.gz	ERR1813638	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1813638/ERR1813638.fastq.gz	P-MTAB-53572	Functional Genomics Center Zurich (FGCZ)	P-MTAB-53570	Functional Genomics Center Zurich (FGCZ)	set1_set2_set3_intersection_20160726.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5412/E-MTAB-5412.processed.1.zip	central nervous system
