?genes_iri	?upRegulated
<http://example.org/onto/individual/ENSMUSG00000036545_CNSOverKidney>	"Adamts2"
<http://example.org/onto/individual/ENSMUSG00000050271_CNSOverKidney>	"D8Ertd82e"
<http://example.org/onto/individual/ENSMUSG00000041420_CNSOverKidney>	"Meis3"
<http://example.org/onto/individual/ENSMUSG00000034640_CNSOverKidney>	"Tiparp"
<http://example.org/onto/individual/ENSMUSG00000023960_CNSOverKidney>	"Enpp5"
<http://example.org/onto/individual/ENSMUSG00000030731_CNSOverKidney>	"Syt3"
<http://example.org/onto/individual/ENSMUSG00000025701_CNSOverKidney>	"Alox5"
<http://example.org/onto/individual/ENSMUSG00000034858_CNSOverKidney>	"Fam214a"
<http://example.org/onto/individual/ENSMUSG00000021477_CNSOverKidney>	"Ctsl"
<http://example.org/onto/individual/ENSMUSG00000038806_CNSOverKidney>	"Sde2"
<http://example.org/onto/individual/ENSMUSG00000054612_CNSOverKidney>	"Mgmt"
<http://example.org/onto/individual/ENSMUSG00000072812_CNSOverKidney>	"Ahnak2"
<http://example.org/onto/individual/ENSMUSG00000045268_CNSOverKidney>	"Zfp691"
<http://example.org/onto/individual/ENSMUSG00000068874_CNSOverKidney>	"Selenbp1"
<http://example.org/onto/individual/ENSMUSG00000033917_CNSOverKidney>	"Gde1"
<http://example.org/onto/individual/ENSMUSG00000019872_CNSOverKidney>	"Smpdl3a"
<http://example.org/onto/individual/ENSMUSG00000039959_CNSOverKidney>	"Hip1"
<http://example.org/onto/individual/ENSMUSG00000032174_CNSOverKidney>	"Icam5"
<http://example.org/onto/individual/ENSMUSG00000054293_CNSOverKidney>	"A630033H20Rik"
<http://example.org/onto/individual/ENSMUSG00000038415_CNSOverKidney>	"Foxq1"
<http://example.org/onto/individual/ENSMUSG00000023905_CNSOverKidney>	"Tnfrsf12a"
<http://example.org/onto/individual/ENSMUSG00000032135_CNSOverKidney>	"Mcam"
<http://example.org/onto/individual/ENSMUSG00000026390_CNSOverKidney>	"Marco"
<http://example.org/onto/individual/ENSMUSG00000025059_CNSOverKidney>	"Gyk"
<http://example.org/onto/individual/ENSMUSG00000062995_CNSOverKidney>	"Ica1"
<http://example.org/onto/individual/ENSMUSG00000041975_CNSOverKidney>	"Mettl8"
<http://example.org/onto/individual/ENSMUSG00000063362_CNSOverKidney>	"Alg11"
<http://example.org/onto/individual/ENSMUSG00000004631_CNSOverKidney>	"Sgce"
<http://example.org/onto/individual/ENSMUSG00000022199_CNSOverKidney>	"Slc22a17"
<http://example.org/onto/individual/ENSMUSG00000038235_CNSOverKidney>	"F11r"
<http://example.org/onto/individual/ENSMUSG00000056476_CNSOverKidney>	"Med12l"
<http://example.org/onto/individual/ENSMUSG00000044092_CNSOverKidney>	"C130050O18Rik"
<http://example.org/onto/individual/ENSMUSG00000025648_CNSOverKidney>	"Pfkfb4"
<http://example.org/onto/individual/ENSMUSG00000024696_CNSOverKidney>	"Lpxn"
<http://example.org/onto/individual/ENSMUSG00000037703_CNSOverKidney>	"Lzts3"
<http://example.org/onto/individual/ENSMUSG00000031596_CNSOverKidney>	"Slc7a2"
<http://example.org/onto/individual/ENSMUSG00000029468_CNSOverKidney>	"P2rx7"
<http://example.org/onto/individual/ENSMUSG00000030142_CNSOverKidney>	"Clec4e"
<http://example.org/onto/individual/ENSMUSG00000020102_CNSOverKidney>	"Slc16a7"
<http://example.org/onto/individual/ENSMUSG00000049598_CNSOverKidney>	"Vsig8"
<http://example.org/onto/individual/ENSMUSG00000039166_CNSOverKidney>	"Akap7"
<http://example.org/onto/individual/ENSMUSG00000055546_CNSOverKidney>	"Timd4"
<http://example.org/onto/individual/ENSMUSG00000033082_CNSOverKidney>	"Clec1a"
<http://example.org/onto/individual/ENSMUSG00000071203_CNSOverKidney>	"Naip5"
