?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000029298_CNSOverKidney>	"Gbp9"
<http://example.org/onto/individual/ENSMUSG00000030814_CNSOverKidney>	"Bcl7c"
<http://example.org/onto/individual/ENSMUSG00000078307_CNSOverKidney>	"AI593442"
<http://example.org/onto/individual/ENSMUSG00000028051_CNSOverKidney>	"Hcn3"
<http://example.org/onto/individual/ENSMUSG00000035847_CNSOverKidney>	"Ids"
<http://example.org/onto/individual/ENSMUSG00000037905_CNSOverKidney>	"Bri3bp"
<http://example.org/onto/individual/ENSMUSG00000033420_CNSOverKidney>	"Antxr1"
<http://example.org/onto/individual/ENSMUSG00000021207_CNSOverKidney>	"Akr1c21"
<http://example.org/onto/individual/ENSMUSG00000051969_CNSOverKidney>	"Tlr11"
<http://example.org/onto/individual/ENSMUSG00000034634_CNSOverKidney>	"Ly6d"
<http://example.org/onto/individual/ENSMUSG00000040964_CNSOverKidney>	"Arhgef10l"
<http://example.org/onto/individual/ENSMUSG00000040680_CNSOverKidney>	"Kremen2"
<http://example.org/onto/individual/ENSMUSG00000028551_CNSOverKidney>	"Cdkn2c"
<http://example.org/onto/individual/ENSMUSG00000041954_CNSOverKidney>	"Tnfrsf18"
<http://example.org/onto/individual/ENSMUSG00000031558_CNSOverKidney>	"Slit2"
<http://example.org/onto/individual/ENSMUSG00000031304_CNSOverKidney>	"Il2rg"
<http://example.org/onto/individual/ENSMUSG00000025278_CNSOverKidney>	"Flnb"
<http://example.org/onto/individual/ENSMUSG00000022103_CNSOverKidney>	"Gfra2"
<http://example.org/onto/individual/ENSMUSG00000066456_CNSOverKidney>	"Hmgn3"
<http://example.org/onto/individual/ENSMUSG00000019699_CNSOverKidney>	"Akt3"
<http://example.org/onto/individual/ENSMUSG00000029161_CNSOverKidney>	"Cgref1"
<http://example.org/onto/individual/ENSMUSG00000030313_CNSOverKidney>	"Dennd5b"
<http://example.org/onto/individual/ENSMUSG00000052914_CNSOverKidney>	"Cyp2j6"
<http://example.org/onto/individual/ENSMUSG00000040212_CNSOverKidney>	"Emp3"
<http://example.org/onto/individual/ENSMUSG00000029552_CNSOverKidney>	"Tes"
