?biological_process	?bp_iri	?expr_genes	?total_genes	?ratio
"termination of G protein-coupled receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038032>	5	1	5.0
"positive regulation of mitophagy in response to mitochondrial depolarization"	<http://purl.obolibrary.org/obo/GO_0098779>	19	8	2.375
"positive regulation of presynaptic membrane organization"	<http://purl.obolibrary.org/obo/GO_1901631>	2	1	2.0
"protein maturation by copper ion transfer"	<http://purl.obolibrary.org/obo/GO_0015680>	2	1	2.0
"4-nitrophenol metabolic process"	<http://purl.obolibrary.org/obo/GO_0018960>	1	1	1.0
"AMP catabolic process"	<http://purl.obolibrary.org/obo/GO_0006196>	1	1	1.0
"CD8-positive, alpha-beta T cell lineage commitment"	<http://purl.obolibrary.org/obo/GO_0043375>	1	1	1.0
"G1 to G0 transition involved in cell differentiation"	<http://purl.obolibrary.org/obo/GO_0070315>	2	2	1.0
"L-lysine import across plasma membrane"	<http://purl.obolibrary.org/obo/GO_0097639>	1	1	1.0
"L-ornithine import across plasma membrane"	<http://purl.obolibrary.org/obo/GO_0097640>	1	1	1.0
"N-acetylmannosamine metabolic process"	<http://purl.obolibrary.org/obo/GO_0006051>	1	1	1.0
"T-helper 1 cell diapedesis"	<http://purl.obolibrary.org/obo/GO_0035688>	1	1	1.0
"T-helper 17 cell chemotaxis"	<http://purl.obolibrary.org/obo/GO_0035705>	1	1	1.0
"Wnt receptor catabolic process"	<http://purl.obolibrary.org/obo/GO_0038018>	2	2	1.0
"acinar cell differentiation"	<http://purl.obolibrary.org/obo/GO_0090425>	1	1	1.0
"acute inflammatory response to non-antigenic stimulus"	<http://purl.obolibrary.org/obo/GO_0002525>	1	1	1.0
"adenosine biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0046086>	1	1	1.0
"adenylate cyclase-activating serotonin receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0007192>	1	1	1.0
"amino acid export across plasma membrane"	<http://purl.obolibrary.org/obo/GO_0032973>	1	1	1.0
"behavioral response to nutrient"	<http://purl.obolibrary.org/obo/GO_0051780>	1	1	1.0
"beta-alanine catabolic process"	<http://purl.obolibrary.org/obo/GO_0019484>	1	1	1.0
"biotin transport"	<http://purl.obolibrary.org/obo/GO_0015878>	1	1	1.0
"branching involved in pancreas morphogenesis"	<http://purl.obolibrary.org/obo/GO_0061114>	1	1	1.0
"butyrate catabolic process"	<http://purl.obolibrary.org/obo/GO_0046359>	1	1	1.0
"canonical Wnt signaling pathway involved in positive regulation of cell-cell adhesion"	<http://purl.obolibrary.org/obo/GO_0044329>	1	1	1.0
"canonical Wnt signaling pathway involved in positive regulation of endothelial cell migration"	<http://purl.obolibrary.org/obo/GO_0044328>	1	1	1.0
"canonical Wnt signaling pathway involved in positive regulation of wound healing"	<http://purl.obolibrary.org/obo/GO_0044330>	1	1	1.0
"carbon dioxide transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0035378>	1	1	1.0
"cardiac cell fate specification"	<http://purl.obolibrary.org/obo/GO_0060912>	1	1	1.0
"cell gliding"	<http://purl.obolibrary.org/obo/GO_0071976>	1	1	1.0
"cellular response to phosphate starvation"	<http://purl.obolibrary.org/obo/GO_0016036>	1	1	1.0
